"","x"
"1",11
"2",9
"3",4
"4",11
"5",4
"6",15
"7",15
"8",8
"9",15
"10",15
"11",2
"12",3
"13",1
"14",11
"15",9
"16",9
"17",4
"18",15
"19",10
"20",9
"21",11
"22",12
"23",4
"24",6
"25",9
"26",13
"27",9
"28",11
"29",8
"30",12
"31",3
"32",4
"33",13
"34",14
"35",11
"36",13
"37",11
"38",2
"39",4
"40",9
"41",11
"42",6
"43",6
"44",3
"45",9
"46",1
"47",9
"48",12
"49",1
"50",13
"51",11
"52",8
"53",9
"54",6
"55",1
"56",15
"57",13
"58",15
"59",9
"60",15
"61",3
"62",3
"63",11
"64",15
"65",14
"66",11
"67",2
"68",3
"69",10
"70",6
"71",15
"72",4
"73",15
"74",15
"75",11
"76",9
"77",15
"78",12
"79",4
"80",10
"81",11
"82",14
"83",2
"84",6
"85",1
"86",11
"87",4
"88",1
"89",14
"90",9
"91",13
"92",15
"93",8
"94",10
"95",9
"96",3
"97",1
"98",6
"99",3
"100",1
"101",6
"102",14
"103",15
"104",6
"105",12
"106",11
"107",1
"108",7
"109",15
"110",11
"111",3
"112",14
"113",11
"114",11
"115",8
"116",15
"117",4
"118",4
"119",10
"120",9
"121",9
"122",3
"123",15
"124",4
"125",4
"126",15
"127",6
"128",12
"129",8
"130",7
"131",15
"132",4
"133",9
"134",1
"135",4
"136",4
"137",3
"138",15
"139",1
"140",12
"141",10
"142",6
"143",8
"144",15
"145",4
"146",14
"147",10
"148",4
"149",4
"150",4
"151",15
"152",7
"153",15
"154",15
"155",9
"156",10
"157",2
"158",1
"159",11
"160",7
"161",14
"162",15
"163",15
"164",8
"165",11
"166",12
"167",12
"168",4
"169",12
"170",15
"171",10
"172",1
"173",11
"174",3
"175",12
"176",1
"177",7
"178",2
"179",1
"180",4
"181",10
"182",11
"183",10
"184",11
"185",13
"186",4
"187",9
"188",11
"189",4
"190",11
"191",12
"192",12
"193",8
"194",8
"195",9
"196",11
"197",11
"198",9
"199",12
"200",11
"201",2
"202",12
"203",15
"204",7
"205",1
"206",10
"207",7
"208",10
"209",12
"210",15
"211",14
"212",13
"213",2
"214",1
"215",11
"216",13
"217",6
"218",11
"219",9
"220",12
"221",11
"222",14
"223",11
"224",12
"225",1
"226",15
"227",6
"228",6
"229",15
"230",12
"231",8
"232",4
"233",11
"234",12
"235",11
"236",7
"237",1
"238",6
"239",7
"240",15
"241",7
"242",15
"243",1
"244",1
"245",6
"246",13
"247",15
"248",2
"249",9
"250",12
"251",14
"252",4
"253",15
"254",12
"255",10
"256",1
"257",4
"258",7
"259",14
"260",4
"261",2
"262",7
"263",15
"264",7
"265",4
"266",1
"267",10
"268",7
"269",6
"270",3
"271",3
"272",11
"273",15
"274",14
"275",10
"276",15
"277",8
"278",15
"279",6
"280",9
"281",2
"282",1
"283",15
"284",4
"285",11
"286",15
"287",9
"288",4
"289",9
"290",13
"291",15
"292",6
"293",15
"294",2
"295",12
"296",14
"297",11
"298",2
"299",13
"300",9
"301",1
"302",6
"303",15
"304",8
"305",9
"306",10
"307",12
"308",6
"309",11
"310",15
"311",11
"312",4
"313",10
"314",15
"315",3
"316",4
"317",11
"318",15
"319",12
"320",9
"321",4
"322",4
"323",12
"324",15
"325",15
"326",13
"327",13
"328",2
"329",6
"330",13
"331",4
"332",15
"333",4
"334",9
"335",12
"336",11
"337",9
"338",10
"339",7
"340",15
"341",15
"342",3
"343",10
"344",9
"345",1
"346",13
"347",13
"348",11
"349",1
"350",10
"351",10
"352",12
"353",13
"354",1
"355",10
"356",1
"357",15
"358",9
"359",1
"360",1
"361",1
"362",6
"363",15
"364",11
"365",9
"366",1
"367",11
"368",7
"369",8
"370",7
"371",15
"372",15
"373",1
"374",11
"375",12
"376",15
"377",12
"378",11
"379",12
"380",15
"381",4
"382",7
"383",9
"384",14
"385",10
"386",8
"387",12
"388",14
"389",8
"390",6
"391",11
"392",1
"393",14
"394",7
"395",15
"396",1
"397",12
"398",15
"399",6
"400",3
"401",11
"402",6
"403",7
"404",3
"405",12
"406",2
"407",9
"408",12
"409",10
"410",8
"411",2
"412",15
"413",12
"414",10
"415",12
"416",4
"417",4
"418",7
"419",12
"420",15
"421",15
"422",1
"423",6
"424",11
"425",9
"426",15
"427",15
"428",4
"429",9
"430",2
"431",1
"432",6
"433",10
"434",9
"435",13
"436",1
"437",12
"438",8
"439",11
"440",11
"441",10
"442",6
"443",13
"444",9
"445",1
"446",10
"447",8
"448",15
"449",15
"450",4
"451",7
"452",15
"453",9
"454",15
"455",4
"456",6
"457",6
"458",12
"459",9
"460",11
"461",12
"462",3
"463",4
"464",15
"465",7
"466",7
"467",7
"468",13
"469",13
"470",6
"471",7
"472",1
"473",7
"474",7
"475",14
"476",4
"477",9
"478",3
"479",7
"480",9
"481",15
"482",14
"483",6
"484",4
"485",13
"486",11
"487",9
"488",15
"489",7
"490",4
"491",11
"492",8
"493",10
"494",7
"495",4
"496",1
"497",15
"498",1
"499",7
"500",4
"501",1
"502",15
"503",4
"504",15
"505",4
"506",2
"507",1
"508",9
"509",12
"510",13
"511",15
"512",14
"513",10
"514",10
"515",15
"516",6
"517",9
"518",7
"519",9
"520",12
"521",4
"522",7
"523",6
"524",4
"525",12
"526",15
"527",1
"528",9
"529",9
"530",12
"531",1
"532",3
"533",4
"534",15
"535",4
"536",4
"537",15
"538",11
"539",1
"540",14
"541",6
"542",6
"543",12
"544",9
"545",12
"546",9
"547",9
"548",7
"549",1
"550",3
"551",15
"552",15
"553",2
"554",8
"555",7
"556",2
"557",2
"558",9
"559",10
"560",6
"561",12
"562",15
"563",10
"564",13
"565",14
"566",8
"567",7
"568",15
"569",9
"570",10
"571",1
"572",4
"573",1
"574",2
"575",12
"576",8
"577",15
"578",4
"579",3
"580",15
"581",13
"582",1
"583",9
"584",15
"585",4
"586",7
"587",9
"588",14
"589",6
"590",1
"591",6
"592",15
"593",4
"594",9
"595",8
"596",10
"597",7
"598",13
"599",2
"600",2
"601",15
"602",15
"603",12
"604",9
"605",12
"606",15
"607",9
"608",14
"609",9
"610",12
"611",8
"612",3
"613",10
"614",7
"615",12
"616",13
"617",9
"618",15
"619",15
"620",11
"621",12
"622",4
"623",1
"624",1
"625",7
"626",9
"627",9
"628",11
"629",15
"630",13
"631",9
"632",6
"633",6
"634",1
"635",6
"636",9
"637",15
"638",1
"639",1
"640",6
"641",15
"642",1
"643",13
"644",15
"645",15
"646",12
"647",8
"648",15
"649",8
"650",15
"651",15
"652",11
"653",15
"654",4
"655",14
"656",11
"657",14
"658",10
"659",14
"660",13
"661",8
"662",15
"663",15
"664",15
"665",12
"666",7
"667",9
"668",15
"669",9
"670",1
"671",1
"672",15
"673",3
"674",9
"675",9
"676",15
"677",14
"678",3
"679",14
"680",1
"681",9
"682",15
"683",12
"684",3
"685",12
"686",14
"687",9
"688",12
"689",4
"690",15
"691",15
"692",11
"693",8
"694",4
"695",1
"696",11
"697",1
"698",8
"699",8
"700",9
"701",15
"702",4
"703",7
"704",15
"705",12
"706",4
"707",12
"708",7
"709",11
"710",2
"711",15
"712",14
"713",6
"714",12
"715",6
"716",4
"717",12
"718",4
"719",6
"720",14
"721",14
"722",13
"723",7
"724",3
"725",2
"726",4
"727",6
"728",15
"729",6
"730",9
"731",3
"732",11
"733",8
"734",7
"735",7
"736",15
"737",13
"738",1
"739",7
"740",9
"741",4
"742",8
"743",12
"744",6
"745",12
"746",6
"747",15
"748",9
"749",15
"750",15
"751",7
"752",1
"753",10
"754",4
"755",15
"756",15
"757",9
"758",9
"759",15
"760",6
"761",15
"762",15
"763",7
"764",13
"765",13
"766",7
"767",12
"768",8
"769",4
"770",15
"771",4
"772",12
"773",1
"774",1
"775",7
"776",12
"777",6
"778",15
"779",12
"780",7
"781",13
"782",14
"783",4
"784",3
"785",9
"786",7
"787",15
"788",9
"789",8
