"","1","2","3","4","5","6","7","8","9","10","11","12","13","Winner"
"AIC",-135212.119188909,-122013.180388078,-119796.196800391,-119062.982699682,-118776.481710972,-118628.433487127,-118612.670300158,-118573.741419032,-118567.696623352,-118568.048933623,-118571.652533689,-118571.955519064,-118574.000324513,9
"BIC",-135211.50548327,-122012.259829619,-119794.662536293,-119060.834729946,-118773.720035597,-118625.058106113,-118608.681213506,-118569.13862674,-118562.480125422,-118562.218730053,-118565.208624481,-118564.897904217,-118566.329004027,10
"CAIC",-135212.50548327,-122013.759829619,-119797.162536293,-119064.334729946,-118778.220035597,-118630.558106113,-118615.181213506,-118576.63862674,-118570.980125422,-118571.718730053,-118575.708624481,-118576.397904217,-118578.829004027,9
"ICL",-135211.50548327,-122011.617359692,-119793.64244268,-119059.543086859,-118772.360893358,-118623.585793463,-118607.076150425,-118567.603698512,-118560.832275263,-118560.373826057,-118563.531367023,-118563.005197957,-118564.28802314,10
