"","1","2","3","4","5","6","7","8","9","10","11","12","13","Winner"
"AIC",-133352.637257057,-122164.606664603,-120242.071137152,-119676.723860039,-119480.608650208,-119397.028172072,-119382.727309887,-119369.721917717,-119371.710507065,-119373.438938688,-119375.400117885,-119377.307142451,-119379.207156562,8
"BIC",-133352.023551418,-122163.686106145,-120240.536873055,-119674.575890303,-119477.846974834,-119393.652791058,-119378.738223234,-119365.119125426,-119366.494009135,-119367.608735119,-119368.956208677,-119370.249527604,-119371.535836076,8
"CAIC",-133353.023551418,-122165.186106145,-120243.036873055,-119678.075890303,-119482.346974834,-119399.152791058,-119385.238223234,-119372.619125426,-119374.994009135,-119377.108735119,-119379.456208677,-119381.749527604,-119384.035836076,8
"ICL",-133352.023551418,-122163.027402588,-120239.486383915,-119673.318519596,-119476.534267121,-119392.191759136,-119377.17897726,-119363.547333755,-119364.893095442,-119365.675613576,-119367.116555376,-119368.377766497,-119369.606519021,8
