"","1","2","3","4","5","6","7","8","9","10","11","12","13","Winner"
"AIC",-127706.160171781,-119213.891433434,-118070.131230675,-117669.300279706,-117553.204108571,-117503.734173412,-117488.038071212,-117482.548930507,-117484.548930483,-117485.183216764,-117487.183217099,-117487.802380388,-117491.183218342,8
"BIC",-127705.546466143,-119212.970874975,-118068.596966577,-117667.15230997,-117550.442433196,-117500.358792398,-117484.048984559,-117477.946138215,-117479.332432553,-117479.353013194,-117480.739307891,-117480.744765541,-117483.511897856,8
"CAIC",-127706.546466143,-119214.470874975,-118071.096966577,-117670.65230997,-117554.942433196,-117505.858792398,-117490.548984559,-117485.446138215,-117487.832432553,-117488.853013194,-117491.239307891,-117492.244765541,-117496.011897856,8
"ICL",-127705.546466143,-119212.3002339,-118067.520284697,-117665.953111896,-117549.12314671,-117499.011636291,-117482.591889622,-117476.39752826,-117477.7462872,-117477.745480512,-117479.092123424,-117478.961160466,-117481.69525223,8
