"","1","2","3","4","5","6","7","8","9","10","11","12","13","Winner"
"AIC",-135697.596664035,-125071.949471455,-123181.591728536,-122469.61563657,-122260.93212572,-122195.096763619,-122175.125036727,-122159.96856071,-122160.531090202,-122162.507289295,-122164.506703929,-122166.50942811,-122168.506703862,8
"BIC",-135696.982958396,-125071.028912996,-123180.057464439,-122467.467666834,-122258.170450345,-122191.721382605,-122171.135950074,-122155.365768418,-122155.314592271,-122156.677085726,-122158.062794721,-122159.451813263,-122160.835383376,9
"CAIC",-135697.982958396,-125072.528912996,-123182.557464439,-122470.967666834,-122262.670450345,-122197.221382605,-122177.635950074,-122162.865768418,-122163.814592271,-122166.177085726,-122168.562794721,-122170.951813263,-122173.335383376,8
"ICL",-135696.982958396,-125070.370461603,-123179.118360442,-122466.222537224,-122256.845208012,-122190.260926462,-122169.60878764,-122153.807340516,-122153.533736424,-122154.792163051,-122156.2725997,-122157.541783447,-122158.855617088,9
