"","1","2","3","4","5","6","7","8","9","10","11","12","13","Winner"
"AIC",-128757.462099247,-117622.100889003,-115636.439715867,-114980.782768238,-114797.526799272,-114712.54989063,-114686.349642871,-114673.213060494,-114674.95051893,-114676.992152419,-114677.845594727,-114679.844539793,-114682.925630167,8
"BIC",-128756.848393608,-117621.180330545,-115634.90545177,-114978.634798502,-114794.765123897,-114709.174509616,-114682.360556218,-114668.610268203,-114669.734021,-114671.161948849,-114671.401685519,-114672.786924946,-114675.254309681,8
"CAIC",-128757.848393608,-117622.680330545,-115637.40545177,-114982.134798502,-114799.265123897,-114714.674509616,-114688.860556218,-114676.110268203,-114678.234021,-114680.661948849,-114681.901685519,-114684.286924946,-114687.754309681,8
"ICL",-128756.848393608,-117620.531414905,-115633.839300234,-114977.360351993,-114793.385213506,-114707.689645904,-114680.830005183,-114666.968926364,-114667.891547701,-114669.306537784,-114669.749736566,-114670.958955697,-114673.295468863,8
