"","1","2","3","4","5","6","7","8","9","10","11","12","13","Winner"
"AIC",-127802.334242853,-117246.594419469,-115671.78832743,-115021.457731177,-114848.3792778,-114787.218005676,-114740.652415505,-114737.901610065,-114739.901615506,-114732.56990528,-114734.569905207,-114736.29656899,-114738.570001456,10
"BIC",-127801.720537214,-117245.673861011,-115670.254063333,-115019.309761441,-114845.617602425,-114783.842624663,-114736.663328852,-114733.298817774,-114734.685117576,-114726.739701711,-114728.125995999,-114729.238954143,-114730.89868097,10
"CAIC",-127802.720537214,-117247.173861011,-115672.754063333,-115022.809761441,-114850.117602425,-114789.342624663,-114743.163328852,-114740.798817774,-114743.185117576,-114736.239701711,-114738.625995999,-114740.738954143,-114743.39868097,10
"ICL",-127801.720537214,-117245.030564437,-115669.209233391,-115018.061752036,-114844.295998716,-114782.412108211,-114735.139507793,-114731.727632431,-114733.112637398,-114725.025972545,-114726.316382731,-114727.387851887,-114728.901077609,10
