gene,C42_2,C42B_2,LNCAP_2,MR49F_2
ENSG00000000003,3.1129667412464115,3.61390871055188,6.038524547982732,4.856629751598921
ENSG00000000419,1.7405240704177092,2.6332715327731613,7.286943263537123,5.089188902023237
ENSG00000000457,2.5592742561546133,1.1567474741635662,4.1296008375597095,2.305353728910046
ENSG00000000460,2.2881791868768366,2.3498307313657447,5.859452582998972,3.197594919873833
ENSG00000001036,3.873431607900794,3.554372168757685,4.5483646241871,4.504407052243114
ENSG00000001084,2.5686413189442248,3.932046770534003,1.963536772032373,5.059248946583986
ENSG00000001167,1.2069647012753149,4.245997873101141,4.487946165730746,3.75481380239288
ENSG00000001460,1.407206747749683,0.4173793303509531,4.018895199935566,1.6142354734568032
ENSG00000001461,2.6037966020153664,2.4246233716418715,3.572003840929103,4.763567866459345
ENSG00000001497,2.972654775679588,2.603786183356404,4.087531249404201,5.32344713694631
ENSG00000001561,4.416966578179203,2.3517446012173693,4.383119395677312,3.693380566654348
ENSG00000001617,2.7617197345093705,4.026870622494297,1.2734031648470767,3.876970654762297
ENSG00000001629,3.5156451021897737,3.284414968418402,5.190079719083658,4.35760424344159
ENSG00000001630,1.1342761319359005,1.590244991169261,3.658369180046265,3.512424993250097
ENSG00000001631,2.886999356853892,2.7158056008305413,2.6544233010319824,2.967780581776672
ENSG00000002016,1.7580963909186864,1.7479410620078877,4.065391396807997,4.440255467057544
ENSG00000002330,1.1659788042705432,1.0626612311989347,5.405541260317836,3.71264863504425
ENSG00000002549,2.426988422330916,3.050470666275586,7.397224736361259,4.863769899661009
ENSG00000002586,2.990306594706605,2.7326565083110848,3.922418831568725,4.6376585956271565
ENSG00000002587,1.9515933677543265,1.84214883993518,4.05781240048636,2.9829121345837355
ENSG00000002822,2.767362720254069,0.8803897841423857,4.389389255337594,2.249429948527057
ENSG00000002834,5.977748583174374,4.387821792052495,6.406598015583639,5.689835665977591
ENSG00000002919,1.8612400324820824,2.7907025772470675,4.894949652425759,3.440309435066228
ENSG00000003056,2.5870729320172954,3.162486881395213,6.618367811274435,4.523081206405282
ENSG00000003096,0.5187166411955801,0.438576883606051,1.4112785356136468,1.6219276662934616
ENSG00000003137,0.2812368354956089,1.2696196932100157,1.793958864934646,0.0
ENSG00000003147,2.281598043234555,2.9090430607586293,3.706277583190071,3.766767220054489
ENSG00000003249,2.766710388328464,3.0880284220038727,6.1262138542352815,2.530754444290136
ENSG00000003393,5.058501622716773,2.1439178616186885,4.6451301500646505,5.001286545562091
ENSG00000003400,1.8385702242098887,1.360392066400247,1.455310122321599,1.0142131775751786
ENSG00000003402,2.790498286652331,3.0402356931839987,4.472037071495478,4.751420842565968
ENSG00000003436,4.727689243613122,0.062423259546432,7.131771581143251,6.255449238421442
ENSG00000003509,4.024659075274086,2.614580154330852,5.586694546173979,4.133935475952793
