"","prob1","prob2","prob3","label"
"3155",1.20506671075792e-06,0.999998784895284,1.00380055233212e-08,2
"3156",7.44583715524907e-56,3.13587807397855e-12,0.999999999996864,3
"3157",5.21051609644782e-13,0.985659958787169,0.01434004121231,2
"3158",1.93400042598995e-19,5.3194238993153e-05,0.999946805761007,3
"3159",0.999999999999599,4.00774309310469e-13,5.67730414706188e-40,1
"3160",6.87409691698301e-21,3.12749779052514e-07,0.999999687250221,3
"3161",8.4906849002375e-07,0.999993050192529,6.10073898138221e-06,2
"3162",5.9984406559734e-06,0.999993996006599,5.55274499884236e-09,2
"3163",0.991004325344258,0.00899567465574255,3.65074920216871e-22,1
"3164",9.90663674966099e-14,0.0344724877299353,0.965527512269966,3
"3165",1.15342278975905e-16,0.00105016381983142,0.998949836180169,3
"3166",1.98793583819101e-17,0.00128863976777037,0.99871136023223,3
"3167",2.51005766057568e-11,0.963696896598687,0.0363031033762129,2
"3168",4.86780270402568e-18,0.151187137419347,0.848812862580653,3
"3169",5.90639088765317e-16,0.000557997893256852,0.999442002106742,3
"3170",1.30797364207709e-13,0.0992434328067092,0.90075656719316,3
"3171",1.44886381713924e-27,1.50870429490468e-06,0.999998491295705,3
"3172",7.27326651449356e-14,0.34772129330042,0.652278706699507,3
"3173",2.12174919571662e-18,0.000204099085295783,0.999795900914704,3
"3174",3.03678901994011e-10,0.999962065752105,3.79339442159694e-05,2
"3175",1.29867488286393e-11,0.593990658377185,0.406009341609829,2
"3176",1.63488633927915e-22,0.345487729080006,0.654512270919994,3
"3177",5.09236764575829e-35,7.11114935782927e-12,0.999999999992889,3
"3178",4.05123766874273e-43,3.42447793431026e-11,0.999999999965755,3
"3179",1.80092820385815e-10,0.993684817182702,0.00631518263720522,2
"3180",7.85034119742658e-28,1.00067262305843e-08,0.999999989993274,3
"3181",7.67311815046797e-34,3.26873104721901e-12,0.999999999996731,3
"3182",5.79859711449377e-42,2.34420099621512e-12,0.999999999997656,3
"3183",1.66096187914695e-12,0.102281197408579,0.89771880258976,3
"3184",3.7734624810554e-26,2.83971237793352e-07,0.999999716028762,3
"3185",1.85070860776736e-12,0.906052004558558,0.0939479954395917,2
"3186",0.999999999999988,1.23560107249373e-14,1.19448879454536e-42,1
"3187",2.32409880065845e-15,0.0215720457660942,0.978427954233903,3
"3188",3.11916652612997e-19,5.84375922409933e-05,0.999941562407759,3
"3189",0.179611493855704,0.820388506144288,7.97372489272639e-15,2
"3190",8.49395598745367e-45,2.94159044591633e-12,0.999999999997058,3
"3191",0.00455999087958801,0.995440009120406,6.37257332560811e-15,2
"3192",3.83101580181141e-33,3.78155459176967e-09,0.999999996218445,3
"3193",9.76911736496098e-21,1.07314723592736e-06,0.999998926852764,3
"3194",4.69050667086094e-08,0.999998092406291,1.86068864213986e-06,2
"3195",2.78042347315837e-16,0.000350371186892682,0.999649628813107,3
"3196",0.999999999999565,4.35299109036755e-13,5.996385792073e-43,1
"3197",6.90703860985844e-22,1.57992511539768e-06,0.999998420074885,3
"3198",1.15395006046615e-16,0.125400692948389,0.87459930705161,3
"3199",6.06689247996711e-34,2.51184522762723e-11,0.999999999974882,3
"3200",1.15931475548738e-27,2.42320442558219e-09,0.999999997576796,3
"3201",5.63198497389368e-07,0.999999423720046,1.30814562847248e-08,2
"3202",2.17153868227101e-72,7.41959911334968e-31,1,3
"3203",3.46905466591306e-34,8.37124417151412e-09,0.999999991628756,3
"3204",0.00646671700567112,0.993533282994325,3.90555544896206e-15,2
"3205",1.59653061932228e-23,2.83083698721345e-05,0.999971691630128,3
"3206",2.53268327013633e-67,1.06654881218345e-14,0.999999999999989,3
"3207",4.69421831654695e-26,8.92365636091348e-09,0.999999991076344,3
"3208",7.11867472809685e-15,0.00367733070197981,0.996322669298013,3
"3209",0.000224370342741096,0.999775629546635,1.10623633497524e-10,2
"3210",0.99999999999994,6.0148873216161e-14,6.4690008542743e-46,1
"3211",0.999988947283854,1.10527161455572e-05,2.51037269468234e-24,1
"3212",3.50165569672931e-19,0.0228930489094289,0.977106951090571,3
"3213",2.82362419312314e-12,0.164573141041456,0.83542685895572,3
"3214",2.8104159940466e-32,1.2233408767271e-09,0.999999998776659,3
"3215",1.66874157692312e-76,1.72736828670879e-22,1,3
"3216",5.35746129989105e-34,2.39176022886245e-08,0.999999976082398,3
"3217",1.16707837100315e-49,3.35256622419021e-16,1,3
"3218",0.0181572982706079,0.981842701728348,1.04436758947464e-12,2
"3219",1.53885330391681e-16,0.00613224454531407,0.993867755454686,3
"3220",0.999999994931988,5.06801145804551e-09,3.84782695552236e-37,1
"3221",2.09746502613186e-30,1.02520729582401e-08,0.999999989747927,3
"3222",6.31265617287544e-09,0.999966928041888,3.30656454556183e-05,2
"3223",1.99923955397263e-14,0.136183366365064,0.863816633634916,3
"3224",5.47111416786865e-46,2.40084055144635e-16,1,3
"3225",0.999999996822353,3.17764735563939e-09,3.21432966838531e-30,1
"3226",2.00209488720759e-43,2.51001065199055e-13,0.999999999999749,3
"3227",4.63380781044516e-16,6.25754182609745e-05,0.999937424581739,3
"3228",6.55408859122072e-11,0.982116819186488,0.0178831807479715,2
"3229",1,8.51298174952934e-23,1.08608302190573e-66,1
"3230",2.35981279100276e-40,3.66564482502236e-15,0.999999999999996,3
"3231",9.03126048163607e-12,0.998958758815006,0.00104124117596244,2
"3232",1.46655154111279e-26,1.74392671937633e-06,0.999998256073281,3
