"","x"
"1",4
"2",6
"3",12
"4",4
"5",15
"6",6
"7",10
"8",5
"9",10
"10",6
"11",1
"12",9
"13",7
"14",4
"15",6
"16",14
"17",15
"18",15
"19",13
"20",6
"21",4
"22",2
"23",12
"24",12
"25",8
"26",5
"27",6
"28",4
"29",5
"30",2
"31",13
"32",12
"33",11
"34",14
"35",4
"36",11
"37",9
"38",1
"39",12
"40",3
"41",9
"42",10
"43",12
"44",9
"45",8
"46",2
"47",3
"48",2
"49",10
"50",8
"51",4
"52",5
"53",6
"54",15
"55",6
"56",15
"57",11
"58",6
"59",6
"60",15
"61",9
"62",9
"63",4
"64",6
"65",11
"66",4
"67",1
"68",9
"69",13
"70",12
"71",6
"72",13
"73",7
"74",12
"75",9
"76",6
"77",6
"78",12
"79",13
"80",1
"81",4
"82",6
"83",1
"84",15
"85",10
"86",4
"87",12
"88",10
"89",8
"90",6
"91",11
"92",15
"93",5
"94",13
"95",6
"96",9
"97",7
"98",15
"99",4
"100",10
"101",15
"102",11
"103",6
"104",12
"105",15
"106",4
"107",10
"108",6
"109",7
"110",4
"111",9
"112",8
"113",4
"114",9
"115",5
"116",15
"117",12
"118",2
"119",13
"120",6
"121",3
"122",4
"123",15
"124",15
"125",6
"126",6
"127",15
"128",13
"129",5
"130",8
"131",6
"132",12
"133",6
"134",6
"135",15
"136",15
"137",13
"138",10
"139",15
"140",4
"141",13
"142",15
"143",5
"144",6
"145",6
"146",14
"147",13
"148",15
"149",12
"150",12
"151",6
"152",8
"153",6
"154",6
"155",6
"156",1
"157",1
"158",10
"159",4
"160",14
"161",14
"162",6
"163",6
"164",5
"165",4
"166",1
"167",15
"168",12
"169",13
"170",6
"171",13
"172",15
"173",9
"174",4
"175",12
"176",10
"177",8
"178",1
"179",12
"180",15
"181",13
"182",4
"183",13
"184",4
"185",11
"186",15
"187",11
"188",4
"189",10
"190",4
"191",15
"192",2
"193",5
"194",5
"195",15
"196",4
"197",4
"198",14
"199",13
"200",4
"201",1
