"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"966",9.50076751835771e-06,9.99999999600017e-11,0.416922486719425,9.99999999600017e-11,0.00343649990343903,9.99999999600017e-11,0.579631315020152,1.97189465977524e-07,9.99999999600017e-11
"967",0.00428376068609128,9.99999999600000e-11,0.0745360701461659,9.99999999600000e-11,0.000176030220901138,9.99999999600000e-11,0.921004133797068,4.74977344211626e-09,9.99999999600000e-11
"968",9.999999995e-11,9.999999995e-11,0.848377426644187,9.999999995e-11,0.151573919414575,9.999999995e-11,4.74570179113921e-05,1.19642332702254e-06,9.999999995e-11
"969",1.0591519010028e-08,0.0457205156046054,0.088786396253176,9.999999998e-11,0.500462733365872,9.999999998e-11,0.00123117612603893,0.363794204604309,4.96325447999381e-06
"970",9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,0.999999700903004,9.999999993e-11,9.999999993e-11,2.98396996113827e-07
"971",9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,0.999999992912346,9.999999993e-11,9.999999993e-11,6.38765366992651e-09
"972",9.999999997e-11,0.454519078931866,0.000430554614884916,9.999999997e-11,0.055649746501253,9.999999997e-11,5.25922679582113e-08,0.489097498414786,0.000303068644942693
"973",9.999999993e-11,9.999999993e-11,9.999999993e-11,0.9999999992,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11
"974",9.999999996e-11,2.96707482542611e-08,0.0505623193601135,9.999999996e-11,0.936979533190244,9.999999996e-11,2.57293037749486e-07,0.0124578600858562,9.999999996e-11
"975",9.999999996e-11,1.15665465096137e-07,0.00519775993612714,9.999999996e-11,0.950961426169959,9.999999996e-11,4.07210240412726e-10,0.0438406974212386,9.999999996e-11
"976",9.999999996e-11,4.12913348912512e-06,0.0476228155758535,9.999999996e-11,0.899214444573624,9.999999996e-11,1.46055463476841e-06,0.0531571497623987,9.999999996e-11
"977",0.00237690037229879,1.65846391761082e-10,0.321993776092525,9.999999997e-11,0.00951606353915379,9.999999997e-11,0.666103342424154,9.91710602271404e-06,9.999999997e-11
"978",9.9999999950008e-11,9.9999999950008e-11,0.703225914030113,9.9999999950008e-11,0.296635589983288,9.9999999950008e-11,0.000108371143123718,3.01243434749236e-05,9.9999999950008e-11
"979",9.99999999700074e-11,0.0114721376277231,0.0358694813788142,9.99999999700074e-11,0.567935866879958,9.99999999700074e-11,3.47024960482736e-05,0.384687809412637,1.90481989568311e-09
"980",0.170524484266255,9.99999999700012e-11,2.93097648513988e-05,0.827645843472797,2.03294930011844e-07,9.99999999700012e-11,0.00180015872435916,1.76807970187082e-10,9.99999999700012e-11
"981",9.999999993e-11,9.999999993e-11,9.999999993e-11,0.9999999992,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11
"982",9.99999999300003e-11,9.99999999300003e-11,0.989461181187779,9.99999999300003e-11,9.99999999300003e-11,9.99999999300003e-11,0.0105388181122206,9.99999999300003e-11,9.99999999300003e-11
"983",3.96777686421577e-08,9.999999996e-11,0.604419080830215,9.999999996e-11,0.00261564874741297,9.999999996e-11,0.392965208250756,2.20938468772957e-08,9.999999996e-11
"984",5.28239342974037e-10,9.999999994e-11,1.26624399661569e-06,9.999999994e-11,9.999999994e-11,9.999999994e-11,0.999998732627764,9.999999994e-11,9.999999994e-11
"985",9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,0.9999999992,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11
"986",9.999999993e-11,9.999999993e-11,0.99999998145303,9.999999993e-11,1.78469695890535e-08,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11
"987",9.999999994e-11,9.999999994e-11,0.00686240510115458,9.999999994e-11,0.993137593935005,9.999999994e-11,9.999999994e-11,3.6384015938156e-10,9.999999994e-11
"988",9.99999999504712e-11,0.000890362295757012,0.000168497781976002,9.99999999504712e-11,0.314512814204851,9.99999999504712e-11,9.99999999504712e-11,0.684428325217416,9.99999999504712e-11
"989",9.99999999423416e-11,1.26687147882305e-07,9.99999999423416e-11,9.99999999423416e-11,9.99999999423416e-11,0.998455838797576,9.99999999423416e-11,9.99999999423416e-11,0.00154403391527592
"990",9.99999999449973e-11,9.99999999449973e-11,0.0557661052142528,9.99999999449973e-11,0.94422433633163,9.99999999449973e-11,9.99999999449973e-11,9.55785411720044e-06,9.99999999449973e-11
"991",2.03413116961742e-06,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,0.99999796516883,9.999999993e-11,9.999999993e-11
"992",9.99999999500001e-11,2.66765514484863e-05,1.58338369820755e-05,9.99999999500001e-11,0.35249068765223,9.99999999500001e-11,9.99999999500001e-11,0.647466801459339,9.99999999500001e-11
"993",9.99999999300496e-11,9.99999999300496e-11,0.00163347691619479,9.99999999300496e-11,9.99999999300496e-11,9.99999999300496e-11,0.998366522383805,9.99999999300496e-11,9.99999999300496e-11
"994",9.999999994e-11,1.87780161421942e-07,9.999999994e-11,9.999999994e-11,7.7132862129904e-10,9.999999994e-11,9.999999994e-11,0.99999981084851,9.999999994e-11
"995",9.999999993e-11,9.999999993e-11,9.999999993e-11,0.9999999992,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11
"996",9.999999993e-11,9.999999993e-11,0.9999999992,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11
"997",9.99999999400009e-11,1.48492994098224e-07,9.99999999400009e-11,9.99999999400009e-11,9.99999999400009e-11,0.0104348697935241,9.99999999400009e-11,9.99999999400009e-11,0.989564981113482
"998",4.48952984720161e-08,9.999999993e-11,9.999999993e-11,0.999999954404702,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11
"999",9.999999993e-11,9.999999993e-11,0.9999999992,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11
"1000",9.999999995e-11,3.31201136095202e-09,1.80187124050108e-05,9.999999995e-11,0.886891379934527,9.999999995e-11,9.999999995e-11,0.113090597541057,9.999999995e-11
