"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",5.34286422313699e-207,0.244012051992575,2.6358110567731e-61,1.09471474480327e-197,5.09582324940513e-15,2.69458445525246e-216,0.38202886774058,0.37395908026684,8.48856331470575e-198
"2",7.9147967987891e-183,0.244010211334827,1.12209146777341e-47,1.17544309693077e-169,9.46392959293044e-19,6.41770356677704e-193,0.382029953670384,0.373959834994789,9.11454166347576e-170
"3",1.28646107871569e-165,0.244009520797139,2.2992109007042e-40,2.49722179125779e-148,3.43782077577281e-18,4.52843841682665e-173,0.382030361066836,0.373960118136025,1.9363788956514e-148
"4",1.92425397416165e-173,0.244009701532604,1.90111664379852e-45,8.70780537483439e-160,2.35965157421855e-18,9.77645445194188e-183,0.382030254437712,0.373960044029684,6.75214777249576e-160
"5",3.62310101095382e-157,0.244009185733041,3.15706179652122e-34,1.27351215009661e-142,6.27619398687494e-19,4.13641928527545e-162,0.382030558745095,0.373960255521863,9.87498210785939e-143
"6",1.29202839269999e-180,0.24401002792835,4.22265619573667e-50,3.6124449889967e-158,1.9073000320383e-14,7.61883293093097e-189,0.38203006187412,0.373959910197511,2.80113775351593e-158
"7",8.71760648254195e-169,0.244009768212417,3.03829390873787e-44,8.79914255144122e-160,6.17756194756152e-21,1.10260234132207e-178,0.382030215099128,0.373960016688455,6.82297183057061e-160
"8",2.15099963833776e-170,0.244009838753181,9.38839523564619e-43,3.35436489876375e-172,3.22660512177297e-23,2.53225382477141e-182,0.382030173482152,0.373959987764667,2.60101902883382e-172
"9",2.75374927623063e-178,0.244010461734033,2.67103716884028e-50,1.54731322927802e-166,1.05379489719859e-17,8.9776258110784e-187,0.382029805942928,0.373959732323039,1.19980719879393e-166
"10",1.83447489233028e-130,0.24400842827569,6.44345614304195e-24,1.22677292368822e-111,9.08389378060359e-21,2.10024065670614e-135,0.382031005624018,0.373960566100293,9.51255994762869e-112
"11",1.54012025547272e-166,0.244009696018846,4.98454045073837e-44,1.50054536751223e-159,4.39091018568215e-21,2.58140864022963e-176,0.382030257691163,0.373960046289991,1.16354277853497e-159
"12",2.80788639206745e-158,0.244009247840498,3.6766297706803e-37,4.64451359139768e-139,1.3008648666598e-18,1.91827790745007e-164,0.382030522103263,0.373960230056239,3.60141743534071e-139
"13",6.97282010352349e-162,0.244009232252513,6.94038949054458e-45,1.1794131083368e-130,1.7880522158996e-12,4.86297805532029e-167,0.382030531297874,0.373960236447825,9.14532565842981e-131
"14",8.64102921173385e-154,0.244009113921346,3.17006320793162e-36,6.30550694741221e-133,4.12441633000867e-17,1.69021500737563e-159,0.382030601111645,0.373960284967009,4.88937371205725e-133
"15",2.10555794750313e-191,0.244010893673969,3.3804418992142e-54,5.8949402302237e-199,1.06292894552399e-22,1.2346406759724e-204,0.382029551111277,0.373959555214754,4.57101483452225e-199
"16",2.47435248779919e-164,0.244009430981831,1.25112492484652e-38,9.9837174928911e-147,4.00755888690236e-19,1.1612531096848e-170,0.382030414055284,0.373960154962885,7.74150695026687e-147
"17",1.7002484167756e-150,0.244009015777447,5.07923302092963e-36,4.30487270273264e-134,4.1989992830033e-20,1.05447045838166e-157,0.382030659013625,0.373960325208927,3.33805538587693e-134
"18",1.78376145000235e-177,0.244010006818838,7.47067419861929e-51,2.9642150952352e-159,7.52084704531287e-16,3.53203172458558e-185,0.382030074328079,0.373959918853082,2.29849169692442e-159
"19",5.34580345643085e-156,0.244009395135626,6.87089060658196e-44,1.06036003117634e-127,6.98261221710741e-13,5.22991421878794e-161,0.382030435203508,0.373960169660168,8.22217230904408e-128
"20",3.70925606811645e-159,0.244009632224661,1.0663640477926e-44,2.07720945768418e-145,3.0067909300497e-19,3.84369074353513e-167,0.382030295328391,0.373960072446948,1.61069576190155e-145
"21",5.21330336580391e-175,0.244010027350374,1.01974268346956e-47,8.32273398969849e-171,6.81327228265689e-21,1.5700176323184e-185,0.382030062215458,0.373959910434168,6.45355831355914e-171
"22",3.72520620650259e-147,0.244009003741246,8.28328572757912e-34,1.64872747674191e-132,3.83794119369585e-21,6.66835347254793e-154,0.38203066611513,0.373960330143624,1.27844515125571e-132
"23",8.93722857649276e-158,0.244009357527589,1.43409717533684e-39,1.33983780188221e-142,2.83039923405655e-19,4.20834036918526e-166,0.382030457391122,0.373960185081289,1.03892800080602e-142
"24",7.0978946282143e-158,0.244009353578401,1.00603294236445e-41,1.80709509610767e-138,1.26093528353403e-17,2.89879724655455e-165,0.382030459720888,0.37396018670071,1.40124550361847e-138
"25",3.14248096306749e-183,0.244010208183538,5.50470184011305e-53,1.16490259513215e-166,1.69648138400618e-16,3.65659101905437e-192,0.382029955528954,0.373959836287507,9.03280921462448e-167
"26",1.49096475261999e-168,0.244009239109395,5.47724504090851e-40,2.99163268376656e-136,1.38545426126244e-13,1.04062456853215e-170,0.382030527253915,0.373960233636551,2.31975165868978e-136
