"","Embryos0002","Embryos0204","Embryos0406","Embryos0608","Embryos0810","Embryos1012","Embryos1214","Embryos1416","Embryos1618","Embryos1820","Embryos2022","Embryos2224"
"FBgn0036911",1535,156,561,819,1092,1556,2309,1287,1393,1012,523,1272
"FBgn0036913",11425,1903,4184,4300,4473,5642,7866,6622,6136,6799,3590,7428
"FBgn0036915",6621,7980,17702,9565,7582,7313,8462,3919,2964,2865,1507,3214
"FBgn0036916",1150,1661,4033,2962,2656,3429,3249,1512,1150,1111,860,1691
"FBgn0036918",2812,1324,5090,3147,3211,5826,5750,2244,2763,2498,1367,2919
"FBgn0036919",8251,5171,7766,8062,9710,18223,17396,11894,6302,5705,2397,3964
"FBgn0036920",3106,3252,4631,2604,3025,4384,4640,3760,3140,2414,1796,3608
"FBgn0036921",6497,7532,10545,6867,11785,18988,20124,5099,6197,4260,4535,10962
"FBgn0036922",1093,612,2265,1541,1301,1975,1435,1183,745,572,183,446
"FBgn0036923",2,4,2,16,57,66,92,54,45,43,17,45
"FBgn0036924",0,1,0,0,2,1,2,1,1,3,2,1
"FBgn0036925",0,0,0,0,4,1,0,0,0,4,2,2
"FBgn0036926",51,58,239,139,194,529,1171,337,667,437,326,1051
"FBgn0036927",9208,9109,10407,2852,3937,7232,17905,13907,16574,14939,7690,17851
"FBgn0036928",6440,6853,11682,8704,8858,13577,15027,7485,8184,7895,5849,10893
"FBgn0036929",3187,3359,3722,2580,2857,3546,6078,1109,1448,846,731,2087
"FBgn0036931",9,89,424,258,219,214,343,109,138,115,43,157
"FBgn0036932",2263,1779,3234,2105,2256,2439,2864,1800,1528,1071,695,1520
"FBgn0036934",2,0,3,5,7,14,54,501,1238,1824,970,1959
"FBgn0036935",20,7,25,58,119,1004,1929,2172,3304,8219,1098,3075
"FBgn0036936",2,2,22,48,27,76,99,98,77,124,35,61
"FBgn0036937",10,86,782,749,500,244,165,233,534,753,272,566
"FBgn0036938",1,38,558,357,250,83,52,4,3,5,0,6
"FBgn0036939",1,11,60,73,104,524,511,38,22,218,1062,1953
"FBgn0036940",9,7,44,66,78,54,47,336,2927,7234,2641,6322
"FBgn0036941",0,0,5,4,2,0,1,3,1,0,0,1
"FBgn0036942",851,424,230,105,133,124,348,525,479,275,79,212
"FBgn0036945",43,26,81,445,1183,5383,7311,12344,20929,26557,12803,29408
"FBgn0036947",4,1,5,4,11,2,12,36,148,870,874,2846
"FBgn0036948",59,35,155,112,86,95,104,1479,10629,35000,46657,104447
"FBgn0036949",9,1,17,13,24,14,17,18,29,712,8410,16822
"FBgn0036950",0,0,2,6,1,3,2,2,12,115,1066,3178
"FBgn0036951",46,86,102,69,127,91,77,995,7143,33700,34522,70073
"FBgn0036952",26,11,30,47,81,74,107,1238,9618,32992,30334,70257
"FBgn0036953",7,1,5,7,12,17,13,49,250,1831,5140,12127
