"","Embryos0002","Embryos0204","Embryos0406","Embryos0608","Embryos0810","Embryos1012","Embryos1214","Embryos1416","Embryos1618","Embryos1820","Embryos2022","Embryos2224"
"FBgn0000008",7551,2115,3561,2393,4201,10789,20594,12805,4935,6014,2760,5338
"FBgn0000014",135,1331,9645,14198,14129,11359,22710,11238,8229,8321,2918,6706
"FBgn0000015",64,590,5982,5692,5690,4127,7978,3009,2804,3150,1121,2804
"FBgn0000017",19124,15294,11862,11312,14809,20546,28808,21247,13142,9013,8859,14643
"FBgn0000018",1642,232,643,417,385,340,499,279,203,175,92,234
"FBgn0000022",95,704,4325,1694,571,120,89,17,8,29,3,23
"FBgn0000024",4,9,28,66,106,380,1279,2355,3761,4820,2823,6624
"FBgn0000028",5,22,110,94,106,180,457,595,474,388,118,274
"FBgn0000032",6499,3530,2670,1297,2383,3384,5692,3484,5077,3919,2585,5607
"FBgn0000036",4,2,9,15,22,147,434,1130,1909,2417,1043,1841
"FBgn0000037",5,20,36,55,39,121,434,1683,4104,5501,2861,6347
"FBgn0000038",0,3,2,11,12,102,359,84,255,222,122,412
"FBgn0000039",10,1,7,13,18,151,585,1399,2172,3080,1568,3417
"FBgn0000042",106141,145495,298340,143051,137700,182744,200864,124547,103538,141296,137076,261758
"FBgn0000043",16213,22241,70480,64494,72601,88525,100421,47034,30207,24800,10980,22231
"FBgn0000044",1774,1477,4160,16923,41523,76191,198246,486492,766306,967922,410241,889452
"FBgn0000045",11,11,37,113,235,346,895,3394,5532,5040,2889,5402
"FBgn0000046",236,646,5362,6620,10324,7550,8137,33395,119966,122048,22681,51814
"FBgn0000047",4,5,28,13,27,28,42,34,50,46,16,59
"FBgn0000052",9421,2482,2424,1374,2020,6292,7133,5752,3750,3308,2833,5562
"FBgn0000053",1440,988,2254,1187,1526,3038,3756,2437,1539,1625,1110,2078
"FBgn0000054",5276,5257,16791,12508,7995,9373,11699,6784,4467,3548,1134,2663
"FBgn0000057",5273,2169,2368,2176,3175,5059,4864,3359,2421,1797,1107,2189
"FBgn0000061",16,37,242,1213,1784,2898,5067,3061,1848,2772,1003,2147
"FBgn0000063",4315,928,3981,2345,1321,753,1265,264,186,132,52,157
"FBgn0000064",11069,11034,22067,8381,12740,28813,48743,95769,97240,119110,64244,127023
"FBgn0000071",1677,19349,146609,134496,80771,64339,50303,14216,3744,2453,598,1616
"FBgn0000075",122,498,3491,1094,1005,2252,5499,22290,27912,3619,292,707
"FBgn0000077",3107,1344,2278,1183,1345,1734,1620,1136,700,560,393,760
"FBgn0000078",0,1,1,2,5,3,5,4,1,1,3,6
"FBgn0000079",1,3,8,20,41,54,50,25,7,67,644,1031
"FBgn0000083",6956,6131,9284,6895,8646,24655,37071,47009,26603,38223,27093,50290
"FBgn0000084",2611,298,169,56,87,97,150,483,690,715,190,308
"FBgn0000092",9,25,70,61,73,60,58,37,34,48,156,410
"FBgn0000094",0,1,1,1,7,0,0,0,1,2,0,0
"FBgn0000097",9880,11401,63604,48986,31384,24986,32788,14907,9382,5878,5563,10748
"FBgn0000099",50,74,511,961,657,997,1811,872,573,515,202,487
"FBgn0000100",100031,120146,247442,136894,147597,259200,211151,199663,167326,187682,105711,187498
"FBgn0000108",291,161,226,477,1215,4343,9934,9967,11531,12380,7277,16204
"FBgn0000109",1210,1545,4319,1681,1091,1205,1845,1170,1235,1113,1166,2659
"FBgn0000114",39082,3614,1155,368,581,915,1281,1134,922,1249,613,1332
"FBgn0000115",4677,3961,7258,5203,5337,7863,6438,4021,2679,2148,945,1774
"FBgn0000116",16592,792,1632,10370,25610,109757,102530,78732,42512,36442,33966,63631
"FBgn0000117",51642,86896,332972,187221,134358,178055,168451,118241,74847,54935,28668,54542
"FBgn0000119",7722,9933,30955,15101,13311,14281,17468,9552,7774,5804,4063,7709
"FBgn0000120",2,1,2,6,24,7,15,190,473,800,610,1252
"FBgn0000121",0,23,159,41,60,66,72,31,103,130,83,160
"FBgn0000137",26,240,3388,4753,3680,2087,2751,409,322,248,68,245
"FBgn0000139",2604,3528,6540,2491,2071,1821,2114,1402,1111,799,1233,2295
"FBgn0000140",26185,11083,40974,18642,11293,4105,5002,2181,1417,851,1049,1863
"FBgn0000142",9162,4131,13124,9344,7536,5909,12094,7057,5704,5383,1978,4302
"FBgn0000146",5425,4313,3076,1313,1288,851,1427,815,631,296,614,1234
"FBgn0000147",7720,3376,8957,5874,4349,2056,1403,757,489,280,249,783
"FBgn0000150",76465,41695,28487,9653,10021,20939,19887,21601,16606,15730,8945,14136
"FBgn0000152",2744,1286,2934,1697,1802,1341,992,444,461,758,586,1347
"FBgn0000153",64,85,155,53,51,51,64,342,942,1266,93,271
"FBgn0000157",29,463,2233,1769,1458,1361,2012,998,1068,1074,348,715
"FBgn0000158",2914,808,580,268,384,270,412,249,226,81,257,432
"FBgn0000163",11273,11411,24194,17605,15535,10824,11214,12963,8721,5778,2128,4197
"FBgn0000166",4685,1754,1850,802,1150,688,1779,1197,853,318,1348,2524
"FBgn0000171",36600,11099,47163,56931,40947,55680,54054,36738,24319,28994,16818,28096
"FBgn0000173",13501,14671,18407,8302,9788,10325,12720,9059,6264,4983,2974,6126
"FBgn0000179",162,146,788,2316,3237,4564,6410,4347,2563,2338,723,1373
"FBgn0000180",1738,27673,90628,49914,18553,8261,6928,2501,1129,1129,359,845
"FBgn0000181",64540,45874,103080,65842,67355,111717,95953,63874,56417,57881,36007,68828
"FBgn0000182",87826,2128,1452,414,499,111,350,571,88,181,62,241
"FBgn0000183",18124,8922,6904,3463,5963,9708,18193,12099,9354,6125,5608,12361
"FBgn0000206",2,5,17,88,170,1049,1552,735,517,301,115,221
"FBgn0000210",37,68,70,124,213,636,1686,2570,2216,2203,740,1366
"FBgn0000212",27722,39505,94053,54824,41008,24728,37119,25437,16336,8776,13846,20428
"FBgn0000216",331,3593,26740,17259,8718,702,438,113,91,93,17,190
"FBgn0000221",2015,1199,2696,1353,1171,1293,1209,807,450,364,239,438
"FBgn0000227",2435,22158,669,63,108,28,41,36,16,41,8,153
"FBgn0000228",11210,58176,14310,6179,6254,5548,7222,4581,3513,2634,2034,4688
"FBgn0000229",815,909,7547,6990,5842,8176,12947,3656,4367,2741,1071,3226
"FBgn0000233",250,3261,11515,4503,1711,1034,1125,726,437,433,143,252
"FBgn0000239",19049,16474,17021,8837,10302,9549,13794,9419,7853,4139,8435,15278
"FBgn0000241",5,16,70,249,402,1062,1503,1056,334,116,22,45
"FBgn0000242",4667,315,256,329,567,942,1330,1216,1224,1540,739,1259
"FBgn0000244",696,327,329,593,1347,4376,5990,8230,14726,33981,15122,33708
"FBgn0000246",3221,3046,2208,1045,1537,1055,3398,615,1040,474,1002,2667
"FBgn0000247",11495,1948,4826,5460,5820,5521,9435,6896,5385,5836,2631,5322
"FBgn0000250",26779,29290,32529,15528,13916,12434,20379,23082,22209,18234,15493,28005
"FBgn0000251",27938,9607,5034,2669,2313,2803,4262,4145,3622,4145,2595,4827
"FBgn0000253",32281,44866,76188,12380,16797,16267,35865,25101,37015,39769,31312,74304
"FBgn0000256",2943,331,261,1416,4171,5364,6428,3691,1313,1194,734,1560
"FBgn0000257",6419,3104,6948,3205,3357,4678,3884,2653,1822,1814,830,1575
"FBgn0000258",11568,4674,13543,8297,8698,10515,21618,3827,4880,2812,1648,5080
"FBgn0000259",4895,1102,4474,3808,3494,3120,5677,3094,2636,1956,938,2155
"FBgn0000261",4940,5267,7238,4531,7358,13943,13327,14097,14669,14241,5260,10610
"FBgn0000273",7516,7862,12023,6436,6707,5542,10755,11906,13631,13970,7957,15170
"FBgn0000274",35,27,28,15,43,21,34,18,12,11,4,9
"FBgn0000276",0,0,0,0,1,2,0,0,3,2,1,0
"FBgn0000277",0,0,1,0,0,2,1,0,1,1,0,0
"FBgn0000278",0,2,1,1,0,3,2,0,0,0,0,4
"FBgn0000279",0,0,0,0,5,18,19,3,3,16,5,16
"FBgn0000283",27244,40489,77069,43768,34846,20153,34974,17396,14327,8952,11015,20556
"FBgn0000286",8790,1012,2643,2232,2591,4685,6811,6437,4217,4242,1409,2706
"FBgn0000287",19,35,154,575,977,2387,5696,3748,3148,2969,1352,3324
"FBgn0000289",23386,19008,38010,26693,21444,18931,20784,19779,12328,10057,4988,9110
"FBgn0000299",819,633,1475,4852,8744,30526,87466,238880,397733,651159,260564,440222
"FBgn0000303",7,5,8,22,43,386,855,1289,1581,3128,2524,5023
"FBgn0000307",13264,15280,32914,17084,15387,8819,23895,9821,8669,5312,6425,12908
"FBgn0000308",20482,27607,75239,48106,50158,63360,84022,36355,27223,19894,9820,21786
"FBgn0000313",7,101,430,251,168,63,97,63,111,120,41,73
"FBgn0000317",12062,11602,8535,8014,12224,13015,37934,21316,13039,5670,6619,12178
"FBgn0000318",5649,4971,7198,1698,2082,5134,4688,3542,3260,3276,2180,4450
"FBgn0000319",37685,43251,119794,74312,71437,86592,125571,84594,62274,44086,25649,54856
"FBgn0000320",147,1696,15451,6701,6183,8423,5724,2928,1358,1267,384,768
"FBgn0000326",1576,1786,1686,487,667,755,1320,1082,1217,953,898,2059
"FBgn0000330",3293,2320,3137,2333,2709,3849,3953,2660,2008,1226,702,1366
"FBgn0000337",644,672,5930,12502,6907,2177,1291,499,393,537,568,988
"FBgn0000338",16956,5159,5380,4846,4748,4768,9720,10048,9493,9852,8901,18014
"FBgn0000339",2110,2635,6025,2915,3608,5898,5720,1637,1969,1594,1233,3050
"FBgn0000346",1383,534,593,563,815,1790,2876,2827,3737,4639,2680,5722
"FBgn0000351",4677,165,1239,1122,575,338,181,82,41,27,9,36
"FBgn0000352",10269,12299,22827,9510,7987,6256,8093,6066,5124,3426,3420,6259
"FBgn0000355",0,1,8,1,1,0,3,5,2,0,0,0
"FBgn0000356",0,0,0,0,0,0,0,4,2,4,0,2
"FBgn0000357",1,22,58,26,17,15,20,15,19,15,7,9
"FBgn0000358",0,0,0,0,0,1,0,0,0,3,0,1
"FBgn0000359",1,1,2,0,0,1,0,1,4,4,3,2
"FBgn0000360",1,0,0,1,3,0,0,15,7,22,22,16
"FBgn0000376",23175,12058,17016,9955,10087,8699,10375,9430,6621,4142,3345,7625
"FBgn0000377",5695,7769,16731,9964,7669,7739,7284,4780,3753,3031,2500,4427
"FBgn0000382",11561,5617,4656,3600,5628,6283,10028,8088,8410,7903,5408,11831
"FBgn0000384",3080,2376,2844,1824,2510,2612,3923,1822,1707,1014,1059,2140
"FBgn0000392",59165,12581,5145,2344,1898,1474,2036,1460,922,837,643,1200
"FBgn0000394",1146,1042,5823,4720,4268,6006,5223,2758,2269,2515,1016,2077
"FBgn0000395",251,3222,13652,3424,2964,3973,5228,4018,5376,6354,2441,5472
"FBgn0000404",68672,42635,99959,54279,39383,23914,24162,9743,7034,3323,6294,11769
"FBgn0000405",197484,87538,190067,91228,74371,49062,53128,43659,28523,10632,22473,40794
"FBgn0000406",66,642,7346,10382,8477,3624,2408,2505,5303,6010,5129,16730
"FBgn0000409",10465,13698,20520,7570,8994,12390,17493,22361,36822,67073,58201,113537
"FBgn0000411",1245,15253,33548,18270,12115,9460,7465,3788,2651,3136,877,2080
"FBgn0000412",19778,31824,84723,46391,32917,26823,25408,12570,9978,6440,4406,8802
"FBgn0000413",24023,11688,37361,24398,15997,23417,20829,12653,10872,12413,4030,7504
"FBgn0000414",9548,10367,26277,11722,8761,7675,15060,12219,9011,7051,5371,9856
"FBgn0000416",43730,50526,130295,57922,54810,47348,86279,47360,36369,29313,11679,29504
"FBgn0000422",16,12,93,17,115,104,114,810,7005,20520,3547,7065
"FBgn0000426",4125,5256,12111,5090,3789,3583,3779,2134,1509,959,459,980
"FBgn0000427",1,6,6,35,69,19,20,68,147,196,63,155
"FBgn0000439",62,1068,3335,2151,1840,1936,2748,1659,1355,1171,333,802
"FBgn0000442",11,21,32,51,45,69,99,304,1753,3948,1259,2543
"FBgn0000447",4265,4008,5177,3096,3246,3081,3130,1668,1279,1125,558,1352
"FBgn0000448",75,132,248,2092,4184,21699,43570,12034,3611,1885,365,1139
"FBgn0000449",129,2190,7472,1768,767,243,141,70,51,91,15,69
"FBgn0000451",163,108,281,793,1222,5648,34608,149618,40476,2828,254,682
"FBgn0000454",20896,1638,1455,702,1022,3542,4836,8678,12915,12544,6234,10902
"FBgn0000455",4123,2854,4090,3104,3714,5130,3384,2929,2989,4596,3629,6215
"FBgn0000459",154,1435,7119,5574,6059,4909,7366,5155,3565,3426,1210,2418
"FBgn0000463",12181,21361,92844,40180,20549,12914,14181,8292,3981,2441,1971,4039
"FBgn0000464",6259,6071,9839,4416,5146,5965,14855,12767,13162,13877,6510,14633
"FBgn0000472",9930,4371,18073,12654,12312,11469,16723,5680,5262,5968,10278,17911
"FBgn0000473",1,37,245,259,219,97,72,43,52,182,995,2704
"FBgn0000477",114,1180,11972,9778,5863,2675,1401,1837,3320,5512,2972,5577
"FBgn0000479",3910,1877,1254,343,645,820,1546,1950,2394,3557,2150,4178
"FBgn0000482",3278,2762,7301,5710,4917,5628,5930,4473,2930,2279,1648,3008
"FBgn0000489",34,590,891,656,586,284,277,1616,6333,6024,1729,3231
"FBgn0000490",253,3165,13456,6300,4976,4859,5129,3318,2817,3620,1233,2421
"FBgn0000492",84,925,6302,7276,5968,7466,6368,3556,1912,2213,636,1264
"FBgn0000497",179,1603,22844,24040,21673,13448,25922,8220,5297,4569,1154,2839
"FBgn0000499",12802,11889,13988,9597,9298,11696,10762,10527,6739,4249,2957,5295
"FBgn0000500",12,14,11,3,10,0,1,6,11,56,67,185
"FBgn0000504",1,5,16,21,84,144,153,210,105,111,37,56
"FBgn0000520",5715,2332,6246,4672,4258,5914,3694,2847,1762,1466,751,1421
"FBgn0000524",21196,5628,12098,11616,10855,11504,11124,5161,3111,2249,657,1391
"FBgn0000527",5,3,10,42,176,516,872,652,1314,5355,903,2172
"FBgn0000529",1,2,9,17,32,91,89,131,98,60,26,58
"FBgn0000533",5954,4693,3415,1237,1533,1591,2539,2436,1565,2396,1753,3237
"FBgn0000535",4,30,150,43,48,39,160,664,1093,1680,850,1741
"FBgn0000536",3956,2097,3328,2151,2705,4729,9331,6345,8488,8170,4828,11726
"FBgn0000541",27798,19056,49730,32166,27634,16045,41473,15380,14998,9580,10286,20920
"FBgn0000542",887,11982,39761,28784,25225,25279,35941,21933,14011,16366,3558,7267
"FBgn0000543",5200,2476,8672,5489,4395,5135,4989,3380,2567,2800,1386,2449
"FBgn0000546",6361,4787,6886,6371,7768,8467,11551,12067,8660,7210,2475,4784
"FBgn0000547",19114,28727,84187,65222,65813,53929,95460,55388,38047,21256,9416,20078
"FBgn0000551",6,28,35,15,23,55,59,224,2105,7274,560,940
"FBgn0000552",0,1,19,33,17,13,18,9,22,28,8,19
"FBgn0000556",803339,992748,2314580,1337788,1265408,1328442,1761780,1197089,965154,908909,421986,867037
"FBgn0000557",27,514,781,211,314,1207,2652,1563,777,377,178,483
"FBgn0000559",353053,477751,1200695,605586,590550,694074,824974,632731,532626,477196,289192,585174
"FBgn0000560",1,17,101,424,389,286,212,89,78,92,9,23
"FBgn0000562",15512,3988,2335,2689,6484,10594,13521,8206,6563,6248,3217,6677
"FBgn0000564",0,0,0,0,0,6,18,64,113,194,144,311
"FBgn0000565",1257,1504,2427,1778,2365,3929,2292,1572,1668,886,1981,3410
"FBgn0000566",9546,10262,13538,5875,7859,11295,13215,9562,6554,4088,3185,6459
"FBgn0000567",22,35,62,141,377,558,460,1915,8413,23088,1203,3122
"FBgn0000568",1624,327,1105,5345,11111,13523,19779,19698,2919,12680,16726,22694
"FBgn0000575",1893,7536,34099,27357,36484,37211,37999,12452,11853,11113,4356,11409
"FBgn0000576",207,2470,11859,8278,6300,4409,5434,2617,1338,1780,609,1114
"FBgn0000577",194,1825,15539,10359,7270,5145,4926,1636,903,1030,451,868
"FBgn0000578",7333,11206,29148,12130,11147,10375,16234,11929,10555,11520,3394,6823
"FBgn0000579",90475,16167,6376,3329,5654,35369,41956,41990,32297,53277,48260,100895
"FBgn0000581",37390,31543,61015,33177,29047,20601,31364,22227,15612,12790,7664,16122
"FBgn0000588",8039,3195,10802,3874,2287,1466,1359,1118,688,500,285,692
"FBgn0000591",55,359,3231,4457,2845,1751,1130,221,113,109,24,69
"FBgn0000592",2,18,40,41,178,402,346,156,289,403,178,368
"FBgn0000594",39,73,252,106,88,56,96,35,24,13,13,29
"FBgn0000606",531,7396,2325,820,664,940,1030,1392,659,634,191,366
"FBgn0000611",9967,14699,35211,20819,18529,23548,29600,16775,13892,11293,5949,13303
"FBgn0000615",38131,878,776,245,333,201,507,659,374,199,42,150
"FBgn0000617",4270,5551,12279,7448,6169,6403,5272,4113,2585,1510,851,1573
"FBgn0000618",1421,1539,3465,1674,1534,2067,1408,796,588,424,246,465
"FBgn0000625",14,82,398,1995,2379,2397,2090,1126,387,361,247,452
"FBgn0000629",6640,3045,16043,6642,4623,4136,5007,2871,2252,1881,1153,2545
"FBgn0000630",10,43,234,188,195,489,2268,7081,3390,999,150,361
"FBgn0000633",31,351,2952,2866,3012,3113,5902,4235,4674,4347,1826,4730
"FBgn0000634",10333,12268,27828,19227,14687,13223,26614,17908,11743,8652,6367,12199
"FBgn0000635",907,1854,12833,21038,24997,25087,44575,33070,22093,17505,6778,14356
"FBgn0000636",233,657,2509,15101,31940,73291,97367,77530,48102,27443,3512,7047
"FBgn0000639",1,12,7,86,903,20,399,39,29,45,11,26
"FBgn0000640",1,8,6,15,116,1,33,1,4,2,0,5
"FBgn0000644",4,3,18,18,39,66,65,53,52,39,13,42
"FBgn0000658",334,3627,23879,23178,18780,16682,17036,5306,3944,3849,1428,3135
"FBgn0000659",338,4657,22998,19959,16928,14262,16536,10713,7280,8449,2230,4371
"FBgn0000662",8450,8828,17038,11535,9818,10692,12623,8185,6486,5636,4471,7941
"FBgn0000667",18771,9909,22714,10902,8794,21178,46458,81499,96594,149364,66520,120864
"FBgn0000709",13606,7363,13234,8178,6839,7698,9701,6362,4956,4346,2436,4465
"FBgn0000711",4318,4170,2427,1599,2626,3971,7376,5801,7966,8267,3684,8431
"FBgn0000715",1,8,11,4,3,6,3,20,93,270,200,546
"FBgn0000719",10362,4768,10279,5820,8259,8361,12662,9974,8434,6094,2799,7051
"FBgn0000721",15949,12999,13064,7405,6853,6096,12029,11312,10742,7537,9705,18694
"FBgn0000723",60,849,3053,2166,2764,3821,4796,3284,2842,2260,1323,2840
"FBgn0000808",808,185,88,13,50,31,33,42,16,14,6,20
"FBgn0000810",3637,4215,6925,5719,4892,2935,6010,2399,2313,1364,1338,2828
"FBgn0000826",8306,623,545,174,157,100,93,112,28,47,13,39
"FBgn0000927",35647,884,562,205,234,144,168,305,76,109,44,80
"FBgn0000928",177,170,228,81,109,334,400,269,205,222,138,250
"FBgn0000964",4,10,6,31,63,498,820,843,791,863,369,775
"FBgn0000986",46060,13491,26556,14918,11173,5636,9613,6344,5177,3783,2096,4412
"FBgn0000996",27982,21182,57825,30463,19701,13413,16560,12070,9419,5023,11885,18183
"FBgn0001075",637,5172,66305,65002,60394,35789,73856,24116,9203,7615,2656,5915
"FBgn0001077",613,9300,3797,2559,1873,488,276,76,23,74,17,89
"FBgn0001078",12118,7035,4550,2461,3609,2005,4635,25566,64264,41354,4831,8392
"FBgn0001079",8149,8249,10452,5630,5007,4564,5157,5183,3635,2418,2672,4647
"FBgn0001083",34,192,654,426,593,5138,12190,18163,7028,3311,539,1274
"FBgn0001084",1465,753,2058,1521,1348,1806,1254,409,241,225,134,262
"FBgn0001085",3738,3407,6357,4742,5821,4024,6875,3041,2584,1677,1218,2755
"FBgn0001086",17389,25261,75552,30981,20988,11957,10262,5839,4226,2205,3585,6645
"FBgn0001087",10808,5253,3310,2074,3390,4821,7635,5403,3650,2696,1815,3988
"FBgn0001089",58,298,2524,1889,1934,3018,4426,3836,1983,1704,1740,2982
"FBgn0001090",6684,110296,310796,113388,97658,99370,155818,53314,23660,36992,12813,24974
"FBgn0001091",35835,4115,1637,710,1142,2334,5079,21532,27943,36995,24668,48598
"FBgn0001092",68033,1746,2043,743,1101,3395,11386,37172,49429,59430,43598,93195
"FBgn0001098",19147,17010,18784,5249,7418,17997,44860,76058,69744,61291,36068,71702
"FBgn0001104",18749,25806,53391,32105,24649,22798,25806,12226,10799,6452,5864,12558
"FBgn0001105",18530,21246,42705,25020,26580,42943,41580,33910,27871,22647,11147,20347
"FBgn0001108",16072,3415,11824,6530,5890,6899,7537,5288,4746,5084,2773,5764
"FBgn0001112",8,64,192,115,109,311,788,1971,3126,3158,218,516
"FBgn0001114",255,192,572,609,1211,4515,17618,54088,101165,143766,54544,105463
"FBgn0001120",11000,1102,582,280,214,121,125,63,31,64,17,81
"FBgn0001122",2572,2800,2491,2150,3025,5363,15018,7492,8665,8353,5362,13645
"FBgn0001123",166,1744,10063,5705,5713,5855,12995,3320,4531,4398,2154,5856
"FBgn0001124",11687,8363,6076,1669,2489,5533,9081,9841,9192,12002,11366,24371
"FBgn0001125",20796,352,384,265,590,2989,5461,9294,9738,14672,12973,23689
"FBgn0001128",9405,2824,4547,4794,4946,4570,3880,3308,5655,19002,38894,82670
"FBgn0001133",4194,3337,6615,4260,4394,5675,4885,3688,2604,2229,1261,2406
"FBgn0001134",3,4,0,3,11,5,7,25,64,177,87,241
"FBgn0001137",1428,667,1417,792,863,939,2207,1169,1037,638,301,595
"FBgn0001138",80,607,4329,4351,4581,9178,7503,4500,3286,3579,1981,3438
"FBgn0001139",30767,35519,52034,29573,23934,22448,24380,22269,15216,8719,8652,15114
"FBgn0001142",22135,5808,6014,9308,12517,30929,32049,31610,31250,21038,8649,18451
"FBgn0001145",71,402,2487,10400,13416,12411,15979,10306,13488,34334,23214,48112
"FBgn0001147",17,110,908,3025,2667,2782,2219,637,292,195,79,199
"FBgn0001148",137,1866,18317,8105,3284,2634,2091,503,179,254,72,180
"FBgn0001149",32595,643,1237,1254,1873,8021,10532,12191,10450,12175,11288,27221
"FBgn0001150",570,6498,7964,1425,832,548,513,258,199,227,127,343
"FBgn0001168",373,6558,5272,2893,3149,3579,4276,2273,4657,13757,4901,12165
"FBgn0001169",18629,14592,15690,12903,12203,9588,13368,10734,6420,3972,5330,8128
"FBgn0001170",4,19,112,612,802,1809,2266,1288,626,765,451,1017
"FBgn0001174",1760,19402,6202,545,207,81,63,36,32,69,9,205
"FBgn0001179",3922,3930,8294,4024,3186,2817,4259,2325,1580,1145,576,1324
"FBgn0001180",26084,23452,26296,16409,9485,5238,5056,3198,1687,1159,799,1773
"FBgn0001185",1555,1490,6003,4044,3417,2452,3961,1204,1217,971,611,1367
"FBgn0001186",13159,3898,1889,1362,2482,7692,11148,6414,8002,11714,11568,21321
"FBgn0001187",5,19,68,70,51,54,62,135,735,4394,3043,5890
"FBgn0001189",2884,2329,7440,4842,4853,6072,8966,5389,4127,3430,1154,2646
"FBgn0001197",35328,50030,137624,80564,66632,46767,49197,28157,20080,11043,11964,20617
"FBgn0001202",3338,3478,7802,3815,3932,4862,6644,3097,2701,2356,2196,3898
"FBgn0001203",9,15,102,109,104,55,87,311,677,1190,866,1481
"FBgn0001205",5683,1496,3770,3896,4484,7485,12661,36339,31528,16458,2794,5342
"FBgn0001206",10068,10864,15878,8096,6597,3801,6391,4899,3838,2075,3915,6426
"FBgn0001208",222,33,27,34,79,696,2483,3339,3789,2929,1657,6173
"FBgn0001215",28517,39133,118084,62325,58272,33847,42760,45886,23085,14300,12205,18081
"FBgn0001216",46,24,61,43,56,437,995,615,292,979,412,984
"FBgn0001217",3,7,2,5,17,57,145,256,284,293,88,205
"FBgn0001218",86410,33172,36819,60444,77006,163626,256791,121322,61274,47841,20156,41692
"FBgn0001219",368312,436044,904178,445974,404395,511920,446233,433813,301689,262275,153446,289820
"FBgn0001220",20016,3711,15196,17837,21035,46694,66532,49357,43629,34155,23320,41977
"FBgn0001222",15053,6802,12379,7386,7133,9700,12918,7127,4723,3422,1721,3790
"FBgn0001224",1470,3669,7258,4373,5350,6987,4442,2917,1950,2475,1626,2218
"FBgn0001225",84119,3034,3098,898,1844,5514,2824,1888,650,1757,1678,2168
"FBgn0001226",54876,9057,5314,3818,6795,10718,9237,3809,1498,1483,553,1027
"FBgn0001227",61,52,177,206,182,624,600,341,164,56,19,27
"FBgn0001229",16,24,58,368,896,2524,3564,2195,1949,1981,993,2115
"FBgn0001230",179,344,440,713,1499,5126,1772,766,359,1626,1100,1833
"FBgn0001233",237896,34499,66283,37025,57647,100354,115814,54093,38677,34446,32540,63787
"FBgn0001247",4346,1038,4839,2825,2954,3550,7655,4687,5561,5538,3412,8745
"FBgn0001248",30804,2910,1531,1209,1778,13188,32304,50413,30692,29587,29426,70355
"FBgn0001250",181,1778,8740,5546,5222,9421,19260,23173,34155,56834,16613,34612
"FBgn0001253",8,9,36,131,253,750,4122,5935,1146,193,50,91
"FBgn0001254",344,2137,10806,2330,2074,19066,113681,85062,7599,918,107,486
"FBgn0001255",123,177,434,406,295,209,291,225,90,63,57,129
"FBgn0001256",173,245,383,1078,1807,16168,84218,68590,8267,1834,228,860
"FBgn0001257",379,4566,45643,19945,15613,16133,18583,9936,5989,10469,2463,5960
"FBgn0001258",203,1060,2074,3473,3289,16044,41587,74604,43364,27925,25144,44794
"FBgn0001259",11,145,1103,1918,2128,3892,2988,592,98,110,147,290
"FBgn0001263",12,68,242,509,398,425,391,228,153,128,91,152
"FBgn0001269",51,379,3315,4514,3946,5285,4509,1932,1165,1302,580,1188
"FBgn0001276",2201,2214,3395,2029,2027,2403,2625,1548,1070,767,913,1481
"FBgn0001280",2749,4032,11272,4342,2857,2490,2966,1160,982,571,504,1096
"FBgn0001281",2,19,27,3,3,2,1,1,1,0,0,1
"FBgn0001285",24,0,13,30,13,17,15,29,66,1237,11095,25738
"FBgn0001291",3947,1003,3257,2332,2513,5805,6505,4770,5398,8466,3665,8114
"FBgn0001296",142,584,2842,3449,4013,5859,6507,9943,6593,3684,941,1810
"FBgn0001297",1625,1170,4148,3794,3180,6622,6771,9637,11097,16145,6416,12952
"FBgn0001301",8248,15353,41005,16368,14123,12612,13578,9221,10452,21403,14363,32926
"FBgn0001308",25739,11773,12802,11173,13292,21788,28781,22955,17618,15652,9171,17557
"FBgn0001311",136,483,1322,1628,3465,12706,28429,53986,27873,14404,5410,11887
"FBgn0001313",0,0,3,0,0,0,0,0,1,0,0,0
"FBgn0001315",0,1,2,0,2,0,3,1,0,0,0,0
"FBgn0001319",48,243,2405,1908,2020,3973,5557,4378,3499,3311,1166,2544
"FBgn0001320",533,8262,7372,6826,7116,9171,7299,2560,1444,1442,604,1260
"FBgn0001321",41,47,96,251,477,2825,9170,9807,5144,2317,417,1314
"FBgn0001323",68,1682,4016,3007,2663,4039,6566,1946,1376,1502,578,1176
"FBgn0001324",7669,5847,36769,21391,14918,10964,16275,10100,5914,5864,2132,4154
"FBgn0001325",625,10538,34677,11566,5528,3826,4580,2138,1759,1456,674,1748
"FBgn0001330",5070,2952,7805,5700,5249,4607,5349,3071,2244,1852,2599,4577
"FBgn0001332",9879,3367,15455,8090,6516,12849,16334,9776,8590,8416,4842,11061
"FBgn0001337",11547,12601,20184,12059,10459,8638,13627,8054,6543,4684,5108,9441
"FBgn0001341",7103,9033,14241,10358,9887,9125,11450,4814,3598,2258,3761,6466
"FBgn0001404",10571,5595,9420,5165,5426,4818,12282,9230,7948,6083,4612,11128
"FBgn0001491",1562,2292,6001,2935,2844,3339,3365,1174,1197,736,623,1231
"FBgn0001560",0,0,1,0,0,1,1,10,9,2,5,4
"FBgn0001565",13766,14611,28061,16588,17234,15295,17462,11756,9769,10158,8643,18037
"FBgn0001612",7540,2807,3721,3562,2497,1591,2198,939,864,748,462,1026
