"","SRX008333","SRX008334","SRX008331","SRX008332"
"ENSG00000088808",29,34,40,37
"ENSG00000088812",19,18,190,174
"ENSG00000088882",28,39,0,0
"ENSG00000088888",9,11,5,6
"ENSG00000088899",9,10,132,144
"ENSG00000088930",8,4,28,35
"ENSG00000088986",13,5,4,10
"ENSG00000089009",7,9,17,22
"ENSG00000089022",66,72,89,82
"ENSG00000089048",15,20,55,63
"ENSG00000089053",278,251,286,320
"ENSG00000089057",6,2,21,18
"ENSG00000089060",66,49,17,23
"ENSG00000089094",72,88,35,35
"ENSG00000089127",101,72,0,0
"ENSG00000089154",1419,1366,1104,974
"ENSG00000089157",82,78,102,109
"ENSG00000089195",46,48,37,39
"ENSG00000089220",11,8,31,43
"ENSG00000089234",64,64,99,81
"ENSG00000089248",13,15,19,27
"ENSG00000089289",36,23,47,47
"ENSG00000089486",5,3,65,45
"ENSG00000089597",723,740,2169,2012
"ENSG00000089639",210,174,20,11
"ENSG00000089685",63,56,69,56
"ENSG00000089693",205,206,466,445
"ENSG00000089723",0,2,33,28
"ENSG00000089737",202,175,207,210
"ENSG00000089775",31,22,7,9
"ENSG00000089818",7,9,15,14
"ENSG00000089902",143,112,118,97
"ENSG00000089916",25,27,41,34
"ENSG00000090006",11,21,40,34
"ENSG00000090013",60,58,60,54
"ENSG00000090060",288,294,217,239
"ENSG00000090061",144,147,75,72
"ENSG00000090238",41,24,38,47
"ENSG00000090372",105,91,144,113
"ENSG00000090432",90,61,148,121
"ENSG00000090447",82,79,95,77
"ENSG00000090470",44,26,46,47
"ENSG00000090487",106,83,94,78
"ENSG00000090554",13,11,1,2
"ENSG00000090581",18,19,65,66
"ENSG00000090615",165,104,108,79
"ENSG00000090661",105,95,17,8
"ENSG00000090674",9,3,69,52
"ENSG00000090776",10,8,62,69
"ENSG00000090857",18,17,15,18
"ENSG00000090861",773,618,959,942
"ENSG00000090863",149,107,395,401
"ENSG00000090932",21,13,23,19
"ENSG00000090971",31,23,85,58
"ENSG00000091039",56,50,65,59
"ENSG00000091157",76,79,52,52
"ENSG00000091164",242,260,116,107
"ENSG00000091527",36,18,21,25
"ENSG00000091542",26,11,62,62
"ENSG00000091592",13,26,0,0
"ENSG00000091622",1,0,28,31
"ENSG00000091640",31,38,133,134
"ENSG00000091651",81,101,59,77
"ENSG00000091947",58,31,147,159
"ENSG00000092010",38,27,8,7
"ENSG00000092020",40,65,41,51
"ENSG00000092036",38,30,40,36
"ENSG00000092094",16,26,42,35
"ENSG00000092096",0,0,14,12
"ENSG00000092098",12,17,27,25
"ENSG00000092108",19,18,28,34
"ENSG00000092148",29,17,23,29
"ENSG00000092201",160,156,235,223
"ENSG00000092208",11,11,10,8
"ENSG00000092330",104,70,74,87
"ENSG00000092439",181,181,146,197
"ENSG00000092445",0,0,33,36
"ENSG00000092531",12,18,19,16
"ENSG00000092820",477,403,85,68
"ENSG00000092841",63,51,48,55
"ENSG00000092847",43,41,64,54
"ENSG00000092931",32,28,45,51
"ENSG00000094804",33,49,58,65
"ENSG00000094914",166,140,226,237
"ENSG00000094916",508,339,336,401
"ENSG00000095015",14,13,9,18
"ENSG00000095059",52,57,63,50
"ENSG00000095066",8,5,12,14
"ENSG00000095139",242,177,400,365
"ENSG00000095564",9,18,21,11
"ENSG00000095906",117,82,143,104
"ENSG00000096060",135,124,49,28
"ENSG00000096080",19,20,15,19
"ENSG00000096092",20,9,7,14
"ENSG00000096401",126,94,322,291
"ENSG00000096433",1148,1145,150,149
"ENSG00000096654",18,15,12,21
"ENSG00000096996",34,32,0,0
"ENSG00000097021",8,17,15,21
"ENSG00000097033",27,30,41,41
"ENSG00000097096",0,0,14,22
"ENSG00000099194",74,58,60,47
"ENSG00000099203",36,34,111,110
"ENSG00000099219",25,21,12,6
"ENSG00000099284",0,0,14,15
"ENSG00000099308",126,100,47,46
"ENSG00000099326",23,33,82,68
"ENSG00000099330",21,30,20,10
"ENSG00000099331",710,729,213,166
"ENSG00000099337",16,18,0,0
"ENSG00000099341",162,185,208,193
"ENSG00000099364",125,103,142,111
"ENSG00000099385",39,42,54,28
"ENSG00000099622",66,72,186,194
"ENSG00000099624",323,301,215,170
"ENSG00000099783",533,458,506,469
"ENSG00000099785",21,16,13,20
"ENSG00000099795",113,64,112,99
"ENSG00000099797",60,69,100,81
"ENSG00000099800",200,150,218,215
"ENSG00000099804",95,97,135,127
"ENSG00000099814",0,0,43,25
"ENSG00000099817",251,207,230,211
"ENSG00000099821",19,24,31,17
"ENSG00000099849",33,30,20,23
"ENSG00000099860",57,45,19,13
"ENSG00000099864",2,0,60,60
"ENSG00000099875",238,166,91,84
"ENSG00000099940",21,19,27,28
"ENSG00000099942",105,68,84,73
"ENSG00000100028",80,87,101,102
"ENSG00000100030",8,9,18,13
"ENSG00000100056",1,0,15,27
"ENSG00000100075",17,13,36,25
"ENSG00000100077",12,12,8,6
"ENSG00000100101",11,11,12,10
"ENSG00000100124",3,5,17,9
"ENSG00000100207",27,19,30,25
"ENSG00000100216",37,26,46,32
"ENSG00000100227",44,45,44,45
"ENSG00000100234",1,0,132,115
"ENSG00000100290",136,122,0,0
"ENSG00000100294",29,27,50,42
"ENSG00000100299",32,48,56,56
"ENSG00000100321",0,0,45,38
"ENSG00000100348",32,30,39,47
"ENSG00000100365",54,41,0,0
"ENSG00000100368",148,119,0,0
"ENSG00000100393",686,572,495,481
"ENSG00000100395",9,18,16,23
"ENSG00000100413",9,9,15,14
"ENSG00000100426",336,266,236,200
"ENSG00000100441",238,182,225,212
"ENSG00000100442",26,23,71,55
"ENSG00000100461",58,59,148,161
"ENSG00000100479",17,14,41,50
"ENSG00000100485",83,95,59,72
"ENSG00000100504",4,3,877,844
"ENSG00000100505",0,1,25,25
"ENSG00000100522",21,12,33,30
"ENSG00000100523",65,47,33,34
"ENSG00000100528",60,53,121,135
"ENSG00000100554",20,11,42,40
"ENSG00000100567",62,44,60,65
"ENSG00000100568",10,12,20,13
"ENSG00000100575",8,6,17,20
"ENSG00000100577",15,23,53,53
"ENSG00000100578",54,72,120,88
"ENSG00000100580",41,53,32,25
"ENSG00000100591",475,348,194,250
"ENSG00000100592",183,183,44,52
"ENSG00000100596",204,176,143,105
"ENSG00000100599",1,0,27,22
"ENSG00000100600",12,5,65,59
"ENSG00000100601",29,36,55,47
"ENSG00000100603",58,36,84,78
"ENSG00000100605",28,37,52,43
"ENSG00000100612",60,60,86,100
"ENSG00000100614",30,25,16,20
"ENSG00000100625",2,0,50,43
"ENSG00000100626",0,0,43,42
"ENSG00000100628",39,43,0,0
"ENSG00000100629",15,14,4,13
"ENSG00000100632",136,124,79,84
"ENSG00000100644",157,165,161,174
"ENSG00000100647",109,71,26,26
"ENSG00000100650",219,268,339,396
"ENSG00000100664",227,231,137,162
"ENSG00000100697",200,187,156,168
"ENSG00000100714",165,157,328,316
"ENSG00000100721",2703,1980,0,0
"ENSG00000100722",31,17,79,67
"ENSG00000100726",150,178,214,192
"ENSG00000100731",102,57,245,218
"ENSG00000100744",23,26,26,25
"ENSG00000100749",104,108,107,128
"ENSG00000100784",10,12,11,15
"ENSG00000100796",44,29,56,33
"ENSG00000100802",34,24,24,36
"ENSG00000100811",542,484,385,327
"ENSG00000100813",287,274,415,376
"ENSG00000100814",15,11,72,82
"ENSG00000100815",48,57,92,69
"ENSG00000100823",356,359,400,373
"ENSG00000100829",14,15,12,14
"ENSG00000100836",53,60,53,42
"ENSG00000100865",46,62,63,63
"ENSG00000100883",93,82,77,113
"ENSG00000100888",372,289,544,500
"ENSG00000100889",132,122,161,135
"ENSG00000100890",55,51,55,59
"ENSG00000100897",117,114,90,76
"ENSG00000100902",27,15,7,8
"ENSG00000100906",151,146,38,38
"ENSG00000100908",9,17,12,9
"ENSG00000100916",9,11,58,69
"ENSG00000100918",74,90,0,3
"ENSG00000100926",63,40,118,134
"ENSG00000100931",52,52,42,48
"ENSG00000100934",65,49,140,124
"ENSG00000100938",47,53,129,134
