"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",0.998300031847568,9.99999998905423e-11,0.00169993849695297,9.99999998905423e-11,9.99999998905423e-11,9.99999998905423e-11,2.85554788679144e-08,9.99999998905423e-11,9.99999998905423e-11,9.99999998905423e-11,9.99999998905423e-11,9.99999998905423e-11,9.99999998905423e-11,9.99999998905423e-11
"2",9.99999999600001e-11,9.99999999600001e-11,9.99999999600001e-11,9.99999999600001e-11,1.01877812565313e-05,2.08190423150881e-07,1.02502302800761e-09,0.0029545859512629,0.433216601707508,0.144045311516921,0.000754656311137978,0.0141039912053332,0.082735603250988,0.322178852660146
"3",9.9999999944096e-11,9.9999999944096e-11,6.52671006915722e-08,9.9999999944096e-11,0.547777586074686,9.9999999944096e-11,0.181672318929039,9.9999999944096e-11,2.41160660623228e-07,9.9999999944096e-11,0.231088986546213,0.0348944219844644,0.00448968341049182,7.66960273437697e-05
"4",0.973415349308099,9.99999999301464e-11,0.0264414386303363,9.99999999301464e-11,1.78080427121705e-06,9.99999999301464e-11,0.00014135910738948,9.99999999301464e-11,9.99999999301464e-11,9.99999999301464e-11,6.90210131186154e-08,2.29087520891871e-09,1.38016156034684e-10,9.99999999301464e-11
"5",9.99999999200011e-11,9.99999999200011e-11,9.99999999200011e-11,9.99999999200011e-11,0.0308548560760589,9.99999999200011e-11,2.26208289659507e-09,9.99999999200011e-11,9.99999999200011e-11,9.99999999200011e-11,0.812063522654323,0.154571744423655,0.00250976658319335,1.07200686866772e-07
"6",9.99999999347846e-11,9.99999999347846e-11,9.99999999347846e-11,9.99999999347846e-11,0.000248161873893407,9.99999999347846e-11,9.99999999347846e-11,9.99999999347846e-11,6.13069775462775e-05,6.40368730000363e-10,0.0558585766919222,0.463208817541366,0.451673998496157,0.0289491370787456
"7",9.99999999502573e-11,9.99999999502573e-11,9.99999999502573e-11,9.99999999502573e-11,0.02044394595309,9.99999999502573e-11,0.000190065488625032,1.20771134803323e-06,0.0362950255492409,0.00139739236176219,0.122029875743253,0.276185845142626,0.352163645765811,0.191292995784244
"8",9.99999999200276e-11,4.92460971466613e-09,9.99999999200276e-11,0.414363997394732,9.99999999200276e-11,0.580249981115855,9.99999999200276e-11,0.00538491630753053,7.46306717199338e-10,1.09871096583723e-06,9.99999999200276e-11,9.99999999200276e-11,9.99999999200276e-11,9.99999999200276e-11
"9",9.99999999400003e-11,9.99999999400003e-11,9.99999999400003e-11,9.99999999400003e-11,0.0560431499136339,9.99999999400003e-11,8.82110015715426e-05,9.99999999400003e-11,0.00014221770868465,5.78983428155547e-08,0.344777690237131,0.395451398062841,0.189400677207824,0.0140965973699704
"10",9.99999999100002e-11,9.99999999100002e-11,9.99999999100002e-11,9.99999999100002e-11,9.99999999100002e-11,9.99999999100002e-11,9.99999999100002e-11,9.99999999100002e-11,7.69331541346223e-06,9.99999999100002e-11,3.87091345421536e-07,0.0192479653176334,0.817169859720052,0.163574093655556
"11",9.99999998800001e-11,9.99999998800001e-11,0.999999694273411,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,3.04526589553521e-07,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11
"12",0.991625942085647,9.999999989e-11,0.00837405664281155,9.999999989e-11,9.999999989e-11,9.999999989e-11,1.71541625543199e-10,9.999999989e-11,9.999999989e-11,9.999999989e-11,9.999999989e-11,9.999999989e-11,9.999999989e-11,9.999999989e-11
"13",9.99999999100001e-11,9.99999999100001e-11,9.99999999100001e-11,9.99999999100001e-11,4.43361524293207e-06,9.99999999100001e-11,9.99999999100001e-11,9.99999999100001e-11,9.99999999100001e-11,9.99999999100001e-11,0.127762467005587,0.837171824872323,0.0350608074464477,4.66160399469579e-07
"14",0.998009100771289,9.99999998911223e-11,0.00199085164387719,9.99999998911223e-11,9.99999998911223e-11,9.99999998911223e-11,4.64848333141104e-08,9.99999998911223e-11,9.99999998911223e-11,9.99999998911223e-11,9.99999998911223e-11,9.99999998911223e-11,9.99999998911223e-11,9.99999998911223e-11
"15",9.99999999200318e-11,9.99999999200318e-11,9.99999999200318e-11,9.99999999200318e-11,9.99999999200318e-11,9.99999999200318e-11,9.99999999200318e-11,9.99999999200318e-11,0.0535889527381754,5.71896393597551e-06,4.12318663026032e-07,0.00221564401505791,0.135352111977253,0.808837159186915
"16",9.999999992e-11,9.999999992e-11,9.999999992e-11,9.999999992e-11,9.999999992e-11,9.999999992e-11,9.999999992e-11,9.999999992e-11,0.0534497432882871,1.19504761740366e-06,3.15843525960977e-09,0.000236676632075525,0.0567088847298231,0.889603496343762
"17",9.99999999100012e-11,9.99999999100012e-11,9.99999999100012e-11,9.99999999100012e-11,0.480186525750348,9.99999999100012e-11,2.20726575544337e-07,9.99999999100012e-11,9.99999999100012e-11,9.99999999100012e-11,0.518440695747779,0.00137222170494404,3.35170354091025e-07,9.99999999100012e-11
"18",9.999999994e-11,9.999999994e-11,9.999999994e-11,9.999999994e-11,0.0390536815634178,9.999999994e-11,7.65424734348567e-06,9.999999994e-11,7.32304693585772e-06,1.94710985074156e-10,0.395514431703315,0.423672009814295,0.137957056879629,0.00378784195035261
"19",9.999999988e-11,9.999999988e-11,9.999999988e-11,9.999999988e-11,1.87935807013357e-10,9.999999988e-11,0.999999998612064,9.999999988e-11,9.999999988e-11,9.999999988e-11,9.999999988e-11,9.999999988e-11,9.999999988e-11,9.999999988e-11
"20",9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,1.05507043274597e-07,9.99999998900008e-11,9.99999998900008e-11,9.99999998900008e-11,5.76105832117196e-05,0.999942282809745
"21",0.999650297178024,9.99999998900004e-11,0.000349701503807225,9.99999998900004e-11,9.99999998900004e-11,9.99999998900004e-11,2.1816863984975e-10,9.99999998900004e-11,9.99999998900004e-11,9.99999998900004e-11,9.99999998900004e-11,9.99999998900004e-11,9.99999998900004e-11,9.99999998900004e-11
"22",9.99999998800721e-11,9.99999998800721e-11,9.99999998800721e-11,9.99999998800721e-11,3.54161057779232e-05,9.99999998800721e-11,0.999964582694222,9.99999998800721e-11,9.99999998800721e-11,9.99999998800721e-11,9.99999998800721e-11,9.99999998800721e-11,9.99999998800721e-11,9.99999998800721e-11
"23",9.999999992e-11,9.999999992e-11,9.999999992e-11,9.999999992e-11,0.419243455786944,9.999999992e-11,7.63706379422892e-06,9.999999992e-11,9.999999992e-11,9.999999992e-11,0.570895788529784,0.00982347526437645,2.96423986305897e-05,1.56470646074556e-10
"24",9.9999999930142e-11,9.9999999930142e-11,9.9999999930142e-11,9.9999999930142e-11,0.355843150326926,9.9999999930142e-11,0.00345996962940093,9.9999999930142e-11,1.07200917765332e-07,9.9999999930142e-11,0.504617070640874,0.12109188337582,0.0148526309145667,0.000135187211494427
"25",9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,9.999999993e-11,2.40858820392321e-06,0.771337377205269,0.126967591190522,1.31822933766007e-10,2.20457944116811e-06,0.000669035787197567,0.101021381817544
